nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,sizePron,motVedette,hwd,pronSampa,ipa,PartOfSpeech
3,aʹbăcus,,,,n.,2.0,19,7,abacus,abacus,{ b @ k @ s,æbəkəs,noun
2,ăbăʹft,,,,p.,3.0,19,6,abaft,,,,pronoun
3,ăbaiʹſănce,F.,,,n.,4.0,19,10,abaisance,,,,noun
3,ābăʹndon,F.,,,v.,5.0,19,8,abandon,abandon,@ b { n d @ n,əbændən,verb
4,ābăʹndŏned,,,,a.,6.0,19,10,abandoned,abandoned,@ b { n d @ n d,əbændənd,adjective
2,ăbāsʹe,F.,,,v.,7.0,19,6,abase,,,,verb
3,ăbāʹſ_e_ment,F.,,,n.,8.0,19,12,abasement,,,,noun
2,ăbăʹſh,F.,,,v.,9.0,19,6,abash,abash,@ b { S,əbæʃ,verb
2,ăbāʹte,F.,,,v.,10.0,19,6,abate,abate,@ b eI t,əb?t,verb
3,ăbāʹt_e_ment,F.,,,n.,11.0,19,12,abatement,abatement,@ b eI t m @ n t,əb?tmənt,noun
2,ăʹbbĕſs,,,,n.,12.0,19,7,abbess,,,,noun
2,ăʹbbey,,,,n.,13.0,19,6,abbey,abbey,{ b i:,æbiː,noun
2,ăʹbbŏt,,,,n.,14.0,19,6,abbot,abbot,{ b @ t,æbət,noun
4,ăbbrĕʹvĭāte,L.,,,v.,15.0,19,11,abbreviate,abbreviate,@ b r\ i: v i: eI t,əbɹiːviː?t,verb
6,ăbbrevĭāʹtion,L.,,,n.,16.0,19,13,abbreviation,abbreviation,@ b r\ i: v i: eI S @ n,əbɹiːviː?ʃən,noun
3,ăʹbdicāte,L.,,,v.,17.0,19,9,abdicate,abdicate,{ b d @ k eI t,æbdək?t,verb
3,ăbdōʹmen,,,,n.,18.0,19,8,abdomen,abdomen,{ b d @U m @ n,æbdoʊmən,noun
2,ăbĕʹt,,,,v.,19.0,19,5,abet,abet,@ b E t,əbɛt,verb
3,ăbĕʹtment,,,,n.,20.0,19,9,abetment,,,,noun
3,ăbĕʹttor,,,,n.,21.0,19,8,abettor,,,,noun
3,ăbeʹyănce,F.,,,n.,22.0,19,9,abeyance,abeyance,@ b eI @ n s,əb?əns,noun
2,ăbhŏʹr,L.,,,v.,23.0,19,6,abhor,abhor,{ b h O: r\,æbhOːɹ,verb
3,ăbhŏʹrrence,,,,n.,24.0,19,11,abhorrence,abhorrence,@ b h O: r\ @ n s,əbhOːɹəns,noun
2,ābīʹde,,,,v.,25.0,19,6,abide,abide,@ b aI d,əb?d,verb
2,ăʹbject,L.,,,a.,26.0,19,7,abject,abject,{ b dZ E k t,æb?ɛkt,adjective
4,abĭʹlĭty,,,,n.,27.0,19,8,ability,ability,@ b I l @ 4 i:,əbɪləɾiː,noun
4,ăbĭntĕʹſtāte,,,,n.,28.0,19,12,abintestate,,,,noun
5,ăbjūrāʹtion,L.,,,n.,29.0,19,11,abjuration,,,,noun
2,ăbjūʹre,L.,,,v.,30.0,19,7,abjure,,,,verb
4,ăblāʹtion,L.,,,n.,31.0,19,9,ablation,,,,noun
3,ăʹblătive,L.,,,n.,32.0,19,9,ablative,,,,noun
3,ăʹblĕpſy,G.,,,n.,33.0,19,8,ablepsy,,,,noun
4,ăblūʹtion,L.,,,n.,34.0,19,9,ablution,,,,noun
5,ăbnegātion,L.,nbSyll>1 et pas d'accent tonic,,n.,35.0,19,10,abnegation,,,,noun
2,ăʹboard,,,,p.,36.0,19,7,aboard,aboard,@ b O: r\ d,əbOːɹd,pronoun
2,ābōʹde,,,,n.,37.0,19,6,abode,abode,@ b @U d,əboʊd,noun
